  freq              ;  reS11        ; imS11         
   9.00000000000E+03;  0.914967     ; 0.292065     
   9.04201843582E+03;  0.915873     ; 0.29351      
   9.08423304375E+03;  0.918799     ; 0.293553     
   9.12664473965E+03;  0.921229     ; 0.293351     
   9.16925444368E+03;  0.917733     ; 0.295262     
   9.21206308028E+03;  0.918808     ; 0.290573     
   9.25507157820E+03;  0.91981      ; 0.286449     
   9.29828087055E+03;  0.919394     ; 0.285843     
   9.34169189477E+03;  0.920742     ; 0.285241     
   9.38530559270E+03;  0.921378     ; 0.284238     
   9.42912291056E+03;  0.921942     ; 0.282714     
   9.47314479899E+03;  0.921741     ; 0.281716     
   9.51737221307E+03;  0.921856     ; 0.280725     
   9.56180611235E+03;  0.923192     ; 0.279379     
   9.60644746085E+03;  0.92202      ; 0.278948     
   9.65129722708E+03;  0.923355     ; 0.27768      
   9.69635638410E+03;  0.923932     ; 0.276341     
   9.74162590948E+03;  0.924326     ; 0.27533      
   9.78710678538E+03;  0.924202     ; 0.274423     
   9.83279999853E+03;  0.924931     ; 0.27461      
   9.87870654027E+03;  0.926623     ; 0.272895     
   9.92482740658E+03;  0.926628     ; 0.271502     
   9.97116359807E+03;  0.927302     ; 0.270363     
   1.00177161200E+04;  0.927239     ; 0.269128     
   1.00644859825E+04;  0.928346     ; 0.267634     
   1.01114742001E+04;  0.92896      ; 0.267651     
   1.01586817922E+04;  0.929809     ; 0.266689     
   1.02061097832E+04;  0.929273     ; 0.265535     
   1.02537592020E+04;  0.929993     ; 0.264348     
   1.03016310823E+04;  0.930387     ; 0.263178     
   1.03497264628E+04;  0.930713     ; 0.262227     
   1.03980463870E+04;  0.931139     ; 0.261257     
   1.04465919031E+04;  0.931337     ; 0.260335     
   1.04953640643E+04;  0.931835     ; 0.259993     
   1.05443639289E+04;  0.932143     ; 0.258092     
   1.05935925599E+04;  0.932376     ; 0.257888     
   1.06430510254E+04;  0.935526     ; 0.258168     
   1.06927403983E+04;  0.935603     ; 0.257678     
   1.07426617568E+04;  0.934308     ; 0.255621     
   1.07928161838E+04;  0.934076     ; 0.253293     
   1.08432047676E+04;  0.935071     ; 0.252091     
   1.08938286014E+04;  0.935903     ; 0.250808     
   1.09446887834E+04;  0.935898     ; 0.250322     
   1.09957864171E+04;  0.936748     ; 0.248897     
   1.10471226110E+04;  0.936934     ; 0.24807      
   1.10986984791E+04;  0.937317     ; 0.246871     
   1.11505151402E+04;  0.937625     ; 0.246045     
   1.12025737185E+04;  0.93855      ; 0.245121     
   1.12548753435E+04;  0.938115     ; 0.244115     
   1.13074211498E+04;  0.938863     ; 0.243303     
   1.13602122776E+04;  0.939184     ; 0.24234      
   1.14132498721E+04;  0.939858     ; 0.24109      
   1.14665350840E+04;  0.94048      ; 0.240379     
   1.15200690694E+04;  0.940491     ; 0.239272     
   1.15738529897E+04;  0.941013     ; 0.238354     
   1.16278880118E+04;  0.941287     ; 0.237264     
   1.16821753081E+04;  0.941935     ; 0.236412     
   1.17367160562E+04;  0.94232      ; 0.235578     
   1.17915114396E+04;  0.942501     ; 0.234821     
   1.18465626470E+04;  0.942792     ; 0.234149     
   1.19018708728E+04;  0.943392     ; 0.232757     
   1.19574373170E+04;  0.943594     ; 0.231658     
   1.20132631851E+04;  0.944274     ; 0.230855     
   1.20693496882E+04;  0.944322     ; 0.230055     
   1.21256980432E+04;  0.944685     ; 0.228887     
   1.21823094727E+04;  0.944957     ; 0.227798     
   1.22391852047E+04;  0.945333     ; 0.227129     
   1.22963264734E+04;  0.945892     ; 0.226163     
   1.23537345184E+04;  0.946388     ; 0.225118     
   1.24114105852E+04;  0.946585     ; 0.224286     
   1.24693559251E+04;  0.947035     ; 0.223465     
   1.25275717953E+04;  0.947443     ; 0.222478     
   1.25860594587E+04;  0.947778     ; 0.221463     
   1.26448201845E+04;  0.948133     ; 0.22049      
   1.27038552473E+04;  0.948484     ; 0.219595     
   1.27631659280E+04;  0.948688     ; 0.218792     
   1.28227535134E+04;  0.948934     ; 0.218074     
   1.28826192962E+04;  0.949475     ; 0.217049     
   1.29427645754E+04;  0.949812     ; 0.21607      
   1.30031906557E+04;  0.949816     ; 0.215378     
   1.30638988481E+04;  0.950497     ; 0.214235     
   1.31248904698E+04;  0.950836     ; 0.213598     
   1.31861668440E+04;  0.951075     ; 0.21254      
   1.32477293002E+04;  0.951456     ; 0.21188      
   1.33095791739E+04;  0.952975     ; 0.210897     
   1.33717178070E+04;  0.953131     ; 0.209839     
   1.34341465477E+04;  0.953688     ; 0.209114     
   1.34968667505E+04;  0.953927     ; 0.208257     
   1.35598797759E+04;  0.954365     ; 0.207196     
   1.36231869913E+04;  0.954781     ; 0.207215     
   1.36867897700E+04;  0.957076     ; 0.206726     
   1.37506894919E+04;  0.958621     ; 0.206188     
   1.38148875435E+04;  0.955732     ; 0.205046     
   1.38793853174E+04;  0.955784     ; 0.203822     
   1.39441842131E+04;  0.956472     ; 0.202247     
   1.40092856364E+04;  0.95602      ; 0.201092     
   1.40746909997E+04;  0.956483     ; 0.200616     
   1.41404017219E+04;  0.956897     ; 0.199915     
   1.42064192289E+04;  0.957215     ; 0.198688     
   1.42727449527E+04;  0.95752      ; 0.19783      
   1.43393803325E+04;  0.957889     ; 0.197223     
   1.44063268138E+04;  0.958367     ; 0.196526     
   1.44735858492E+04;  0.958267     ; 0.195279     
   1.45411588979E+04;  0.959197     ; 0.194862     
   1.46090474259E+04;  0.959569     ; 0.194058     
   1.46772529061E+04;  0.959396     ; 0.192695     
   1.47457768182E+04;  0.959706     ; 0.192888     
   1.48146206490E+04;  0.959705     ; 0.19122      
   1.48837858920E+04;  0.959985     ; 0.190344     
   1.49532740478E+04;  0.960522     ; 0.189379     
   1.50230866240E+04;  0.960285     ; 0.188569     
   1.50932251352E+04;  0.960923     ; 0.187649     
   1.51636911032E+04;  0.960674     ; 0.187372     
   1.52344860567E+04;  0.961552     ; 0.186966     
   1.53056115317E+04;  0.962276     ; 0.186342     
   1.53770690712E+04;  0.962166     ; 0.185184     
   1.54488602256E+04;  0.962751     ; 0.184196     
   1.55209865525E+04;  0.963128     ; 0.182973     
   1.55934496167E+04;  0.962754     ; 0.182512     
   1.56662509902E+04;  0.9623       ; 0.182182     
   1.57393922526E+04;  0.963145     ; 0.180994     
   1.58128749908E+04;  0.963686     ; 0.180672     
   1.58867007989E+04;  0.963897     ; 0.179064     
   1.59608712786E+04;  0.964842     ; 0.178557     
   1.60353880393E+04;  0.9645       ; 0.177778     
   1.61102526974E+04;  0.964594     ; 0.177245     
   1.61854668773E+04;  0.964703     ; 0.176249     
   1.62610322108E+04;  0.96513      ; 0.175974     
   1.63369503372E+04;  0.965506     ; 0.175724     
   1.64132229038E+04;  0.965792     ; 0.173929     
   1.64898515653E+04;  0.965629     ; 0.17339      
   1.65668379841E+04;  0.965676     ; 0.172563     
   1.66441838307E+04;  0.966753     ; 0.171877     
   1.67218907829E+04;  0.968362     ; 0.172031     
   1.67999605267E+04;  0.970841     ; 0.174601     
   1.68783947560E+04;  0.968074     ; 0.170615     
   1.69571951723E+04;  0.966173     ; 0.169173     
   1.70363634853E+04;  0.966568     ; 0.168268     
   1.71159014126E+04;  0.967233     ; 0.167599     
   1.71958106798E+04;  0.967129     ; 0.166759     
   1.72760930207E+04;  0.967197     ; 0.16595      
   1.73567501769E+04;  0.967068     ; 0.164955     
   1.74377838984E+04;  0.967134     ; 0.164849     
   1.75191959432E+04;  0.967584     ; 0.163624     
   1.76009880777E+04;  0.967854     ; 0.163071     
   1.76831620763E+04;  0.968783     ; 0.161661     
   1.77657197220E+04;  0.968506     ; 0.161039     
   1.78486628058E+04;  0.968548     ; 0.160547     
   1.79319931272E+04;  0.968719     ; 0.160053     
   1.80157124941E+04;  0.969441     ; 0.159386     
   1.80998227229E+04;  0.96978      ; 0.158702     
   1.81843256384E+04;  0.969696     ; 0.157774     
   1.82692230739E+04;  0.969747     ; 0.155093     
   1.83545168714E+04;  0.970811     ; 0.154925     
   1.84402088813E+04;  0.970801     ; 0.155414     
   1.85263009628E+04;  0.970192     ; 0.156082     
   1.86127949837E+04;  0.970635     ; 0.154565     
   1.86996928205E+04;  0.970778     ; 0.153792     
   1.87869963586E+04;  0.970955     ; 0.153191     
   1.88747074920E+04;  0.9711       ; 0.152454     
   1.89628281237E+04;  0.97131      ; 0.151863     
   1.90513601656E+04;  0.971669     ; 0.151079     
   1.91403055383E+04;  0.971937     ; 0.150094     
   1.92296661716E+04;  0.971945     ; 0.149764     
   1.93194440042E+04;  0.972391     ; 0.149013     
   1.94096409840E+04;  0.972874     ; 0.148642     
   1.95002590678E+04;  0.972802     ; 0.147889     
   1.95913002216E+04;  0.97303      ; 0.146814     
   1.96827664206E+04;  0.973062     ; 0.146115     
   1.97746596492E+04;  0.972799     ; 0.145722     
   1.98669819012E+04;  0.973393     ; 0.145011     
   1.99597351794E+04;  0.973928     ; 0.14463      
   2.00529214962E+04;  0.978076     ; 0.13871      
   2.01465428734E+04;  0.978032     ; 0.138309     
   2.02406013422E+04;  0.978027     ; 0.137836     
   2.03350989431E+04;  0.978015     ; 0.137153     
   2.04300377265E+04;  0.978307     ; 0.136641     
   2.05254197519E+04;  0.978435     ; 0.1359       
   2.06212470888E+04;  0.978533     ; 0.135315     
   2.07175218163E+04;  0.978831     ; 0.134917     
   2.08142460231E+04;  0.979054     ; 0.13428      
   2.09114218076E+04;  0.979385     ; 0.133905     
   2.10090512782E+04;  0.979266     ; 0.133233     
   2.11071365529E+04;  0.979294     ; 0.13266      
   2.12056797599E+04;  0.979624     ; 0.13206      
   2.13046830370E+04;  0.979529     ; 0.131648     
   2.14041485322E+04;  0.979559     ; 0.131191     
   2.15040784035E+04;  0.980396     ; 0.130275     
   2.16044748189E+04;  0.980346     ; 0.129749     
   2.17053399565E+04;  0.980257     ; 0.129054     
   2.18066760047E+04;  0.980691     ; 0.12825      
   2.19084851621E+04;  0.980943     ; 0.127867     
   2.20107696374E+04;  0.980784     ; 0.127055     
   2.21135316497E+04;  0.981059     ; 0.126512     
   2.22167734287E+04;  0.981232     ; 0.125865     
   2.23204972141E+04;  0.981415     ; 0.125236     
   2.24247052562E+04;  0.98144      ; 0.124517     
   2.25293998161E+04;  0.981522     ; 0.124159     
   2.26345831650E+04;  0.981696     ; 0.123533     
   2.27402575850E+04;  0.981917     ; 0.122963     
   2.28464253688E+04;  0.981991     ; 0.12212      
   2.29530888197E+04;  0.982175     ; 0.12182      
   2.30602502519E+04;  0.982212     ; 0.121162     
   2.31679119902E+04;  0.982519     ; 0.120578     
   2.32760763706E+04;  0.982433     ; 0.120173     
   2.33847457396E+04;  0.982655     ; 0.119533     
   2.34939224549E+04;  0.982938     ; 0.119183     
   2.36036088852E+04;  0.983093     ; 0.118331     
   2.37138074102E+04;  0.983353     ; 0.117717     
   2.38245204208E+04;  0.982811     ; 0.117219     
   2.39357503188E+04;  0.983423     ; 0.116454     
   2.40474995175E+04;  0.983664     ; 0.115749     
   2.41597704414E+04;  0.983415     ; 0.115035     
   2.42725655263E+04;  0.984023     ; 0.115065     
   2.43858872193E+04;  0.982879     ; 0.114839     
   2.44997379790E+04;  0.983082     ; 0.114494     
   2.46141202754E+04;  0.984543     ; 0.113102     
   2.47290365902E+04;  0.983946     ; 0.112089     
   2.48444894165E+04;  0.984389     ; 0.111932     
   2.49604812592E+04;  0.984256     ; 0.111431     
   2.50770146347E+04;  0.984636     ; 0.111127     
   2.51940920714E+04;  0.984472     ; 0.110143     
   2.53117161092E+04;  0.984986     ; 0.109893     
   2.54298893002E+04;  0.984705     ; 0.109358     
   2.55486142082E+04;  0.985009     ; 0.108747     
   2.56678934089E+04;  0.985062     ; 0.108143     
   2.57877294902E+04;  0.985279     ; 0.107457     
   2.59081250521E+04;  0.985277     ; 0.106992     
   2.60290827065E+04;  0.985399     ; 0.10668      
   2.61506050777E+04;  0.985546     ; 0.105977     
   2.62726948023E+04;  0.98551      ; 0.105744     
   2.63953545290E+04;  0.985704     ; 0.105008     
   2.65185869190E+04;  0.985772     ; 0.104568     
   2.66423946460E+04;  0.986872     ; 0.103851     
   2.67667803959E+04;  0.985991     ; 0.103439     
   2.68917468675E+04;  0.986307     ; 0.102852     
   2.70172967719E+04;  0.986059     ; 0.102561     
   2.71434328331E+04;  0.986391     ; 0.101762     
   2.72701577876E+04;  0.986554     ; 0.101305     
   2.73974743848E+04;  0.986654     ; 0.100498     
   2.75253853869E+04;  0.986367     ; 0.100305     
   2.76538935691E+04;  0.986953     ; 0.0995193    
   2.77830017193E+04;  0.986744     ; 0.0992451    
   2.79127126387E+04;  0.986764     ; 0.0985577    
   2.80430291415E+04;  0.98706      ; 0.0980565    
   2.81739540548E+04;  0.987238     ; 0.0975025    
   2.83054902193E+04;  0.987385     ; 0.0970883    
   2.84376404886E+04;  0.987249     ; 0.0965699    
   2.85704077300E+04;  0.987699     ; 0.0961807    
   2.87037948237E+04;  0.987549     ; 0.0956431    
   2.88378046638E+04;  0.987796     ; 0.0951416    
   2.89724401576E+04;  0.987793     ; 0.0946291    
   2.91077042262E+04;  0.987958     ; 0.0941208    
   2.92435998042E+04;  0.988846     ; 0.0935167    
   2.93801298399E+04;  0.987999     ; 0.0931503    
   2.95172972955E+04;  0.987974     ; 0.0926812    
   2.96551051468E+04;  0.988285     ; 0.0921424    
   2.97935563837E+04;  0.988473     ; 0.0917752    
   2.99326540101E+04;  0.988394     ; 0.0910625    
   3.00724010436E+04;  0.988589     ; 0.0906148    
   3.02128005161E+04;  0.988508     ; 0.0902165    
   3.03538554739E+04;  0.98969      ; 0.0896258    
   3.04955689770E+04;  0.98973      ; 0.0891344    
   3.06379441001E+04;  0.99004      ; 0.0887351    
   3.07809839321E+04;  0.988915     ; 0.0882944    
   3.09246915763E+04;  0.988995     ; 0.0877567    
   3.10690701505E+04;  0.989091     ; 0.0872572    
   3.12141227872E+04;  0.990197     ; 0.0868499    
   3.13598526333E+04;  0.990193     ; 0.0862147    
   3.15062628506E+04;  0.989384     ; 0.0861492    
   3.16533566154E+04;  0.990215     ; 0.0854298    
   3.18011371191E+04;  0.989643     ; 0.0851888    
   3.19496075679E+04;  0.990285     ; 0.0843025    
   3.20987711829E+04;  0.989755     ; 0.0841386    
   3.22486312004E+04;  0.990687     ; 0.0834929    
   3.23991908715E+04;  0.990764     ; 0.0831738    
   3.25504534629E+04;  0.990543     ; 0.0826299    
   3.27024222562E+04;  0.99075      ; 0.0822848    
   3.28551005485E+04;  0.989958     ; 0.0818199    
   3.30084916523E+04;  0.99011      ; 0.0812114    
   3.31625988954E+04;  0.990216     ; 0.0809944    
   3.33174256213E+04;  0.990291     ; 0.0804667    
   3.34729751891E+04;  0.991412     ; 0.0798462    
   3.36292509735E+04;  0.990221     ; 0.079427     
   3.37862563651E+04;  0.99141      ; 0.0790181    
   3.39439947700E+04;  0.991457     ; 0.0785372    
   3.41024696107E+04;  0.990613     ; 0.078293     
   3.42616843252E+04;  0.991564     ; 0.0777847    
   3.44216423679E+04;  0.991569     ; 0.0773408    
   3.45823472091E+04;  0.991723     ; 0.0769924    
   3.47438023354E+04;  0.991678     ; 0.076421     
   3.49060112497E+04;  0.991716     ; 0.0758873    
   3.50689774712E+04;  0.991988     ; 0.075421     
   3.52327045355E+04;  0.991749     ; 0.0749536    
   3.53971959949E+04;  0.991181     ; 0.0748056    
   3.55624554180E+04;  0.991185     ; 0.0742744    
   3.57284863903E+04;  0.991236     ; 0.0740118    
   3.58952925139E+04;  0.99192      ; 0.0732771    
   3.60628774078E+04;  0.992259     ; 0.0730469    
   3.62312447078E+04;  0.992389     ; 0.0725345    
   3.64003980667E+04;  0.992492     ; 0.0722861    
   3.65703411545E+04;  0.992359     ; 0.0718192    
   3.67410776581E+04;  0.991413     ; 0.0715196    
   3.69126112819E+04;  0.992551     ; 0.070924     
   3.70849457472E+04;  0.992551     ; 0.0703308    
   3.72580847931E+04;  0.992786     ; 0.0700643    
   3.74320321758E+04;  0.992742     ; 0.0696661    
   3.76067916693E+04;  0.992785     ; 0.0695211    
   3.77823670651E+04;  0.992638     ; 0.069049     
   3.79587621724E+04;  0.991926     ; 0.0685612    
   3.81359808182E+04;  0.992165     ; 0.0679561    
   3.83140268474E+04;  0.993041     ; 0.0676239    
   3.84929041228E+04;  0.992944     ; 0.0672267    
   3.86726165251E+04;  0.993077     ; 0.0668138    
   3.88531679535E+04;  0.992979     ; 0.0663807    
   3.90345623251E+04;  0.993033     ; 0.0660614    
   3.92168035753E+04;  0.992999     ; 0.0655088    
   3.93998956580E+04;  0.992283     ; 0.0652349    
   3.95838425455E+04;  0.993272     ; 0.0647569    
   3.97686482285E+04;  0.99335      ; 0.0644883    
   3.99543167167E+04;  0.993305     ; 0.0640153    
   4.01408520381E+04;  0.993543     ; 0.0637416    
   4.03282582398E+04;  0.993513     ; 0.0632266    
   4.05165393876E+04;  0.993551     ; 0.0627561    
   4.07056995665E+04;  0.993073     ; 0.0625049    
   4.08957428804E+04;  0.992681     ; 0.0622422    
   4.10866734523E+04;  0.993618     ; 0.0618303    
   4.12784954247E+04;  0.993717     ; 0.0614675    
   4.14712129592E+04;  0.994018     ; 0.0610032    
   4.16648302370E+04;  0.993696     ; 0.0606077    
   4.18593514587E+04;  0.993822     ; 0.0602369    
   4.20547808446E+04;  0.993801     ; 0.0597554    
   4.22511226346E+04;  0.993879     ; 0.0596695    
   4.24483810885E+04;  0.993872     ; 0.0590079    
   4.26465604859E+04;  0.993995     ; 0.0586485    
   4.28456651264E+04;  0.99413      ; 0.0580927    
   4.30456993298E+04;  0.994148     ; 0.0578382    
   4.32466674358E+04;  0.994133     ; 0.0575945    
   4.34485738047E+04;  0.994305     ; 0.0572574    
   4.36514228170E+04;  0.994205     ; 0.0569461    
   4.38552188734E+04;  0.993231     ; 0.056633     
   4.40599663956E+04;  0.99425      ; 0.0561282    
   4.42656698256E+04;  0.99443      ; 0.0556939    
   4.44723336264E+04;  0.99449      ; 0.0553709    
