  freq              ;  reS11        ; imS11         
   9.00000000000E+03; -0.974519     ;-0.00117669   
   9.04201843582E+03; -0.974991     ;-0.000376254  
   9.08423304375E+03; -0.974728     ; 0.00048095   
   9.12664473965E+03; -0.974531     ; 0.00129724   
   9.16925444368E+03; -0.976399     ; 0.000708491  
   9.21206308028E+03; -0.975116     ; 0.000151396  
   9.25507157820E+03; -0.974137     ;-0.000360906  
   9.29828087055E+03; -0.974521     ;-0.000734419  
   9.34169189477E+03; -0.974264     ;-0.000512123  
   9.38530559270E+03; -0.974255     ;-0.000365913  
   9.42912291056E+03; -0.974253     ;-0.000525326  
   9.47314479899E+03; -0.974335     ;-0.000628144  
   9.51737221307E+03; -0.974888     ;-0.000720233  
   9.56180611235E+03; -0.97439      ;-0.000560999  
   9.60644746085E+03; -0.975084     ;-0.000660688  
   9.65129722708E+03; -0.974571     ;-0.00104851   
   9.69635638410E+03; -0.974448     ;-0.00107303   
   9.74162590948E+03; -0.974544     ;-0.00104874   
   9.78710678538E+03; -0.974844     ;-0.00120533   
   9.83279999853E+03; -0.975096     ;-0.000597209  
   9.87870654027E+03; -0.974535     ;-0.00041014   
   9.92482740658E+03; -0.974617     ;-0.000676304  
   9.97116359807E+03; -0.974496     ;-0.00101751   
   1.00177161200E+04; -0.974707     ;-0.000712454  
   1.00644859825E+04; -0.97465      ;-0.000903815  
   1.01114742001E+04; -0.974526     ;-0.000619382  
   1.01586817922E+04; -0.974407     ;-0.000719696  
   1.02061097832E+04; -0.974848     ;-0.000761449  
   1.02537592020E+04; -0.974727     ;-0.000820488  
   1.03016310823E+04; -0.974853     ;-0.000966012  
   1.03497264628E+04; -0.974822     ;-0.000897735  
   1.03980463870E+04; -0.97497      ;-0.000879928  
   1.04465919031E+04; -0.975012     ;-0.000786617  
   1.04953640643E+04; -0.974943     ;-0.00075224   
   1.05443639289E+04; -0.975198     ;-0.000862926  
   1.05935925599E+04; -0.975469     ;-0.000755757  
   1.06430510254E+04; -0.974784     ; 0.000170305  
   1.06927403983E+04; -0.974712     ; 6.27935E-05  
   1.07426617568E+04; -0.975156     ;-0.000439674  
   1.07928161838E+04; -0.97524      ;-0.000845715  
   1.08432047676E+04; -0.975033     ;-0.000909582  
   1.08938286014E+04; -0.975058     ;-0.00131939   
   1.09446887834E+04; -0.975266     ;-0.000980839  
   1.09957864171E+04; -0.975167     ;-0.00131187   
   1.10471226110E+04; -0.974935     ;-0.00100297   
   1.10986984791E+04; -0.975057     ;-0.000930801  
   1.11505151402E+04; -0.975034     ;-0.000992581  
   1.12025737185E+04; -0.975066     ;-0.0013435    
   1.12548753435E+04; -0.975299     ;-0.00118466   
   1.13074211498E+04; -0.975161     ;-0.00107935   
   1.13602122776E+04; -0.975386     ;-0.00114162   
   1.14132498721E+04; -0.975399     ;-0.00115035   
   1.14665350840E+04; -0.975407     ;-0.00121923   
   1.15200690694E+04; -0.975413     ;-0.00115176   
   1.15738529897E+04; -0.975371     ;-0.0012922    
   1.16278880118E+04; -0.975479     ;-0.00120796   
   1.16821753081E+04; -0.975483     ;-0.00130105   
   1.17367160562E+04; -0.97543      ;-0.00122622   
   1.17915114396E+04; -0.975436     ;-0.00117032   
   1.18465626470E+04; -0.975397     ;-0.00125651   
   1.19018708728E+04; -0.975513     ;-0.001229     
   1.19574373170E+04; -0.975679     ;-0.0013499    
   1.20132631851E+04; -0.975524     ;-0.00124712   
   1.20693496882E+04; -0.975699     ;-0.0011123    
   1.21256980432E+04; -0.975484     ;-0.0013679    
   1.21823094727E+04; -0.975648     ;-0.00138152   
   1.22391852047E+04; -0.975767     ;-0.00137001   
   1.22963264734E+04; -0.975805     ;-0.00116788   
   1.23537345184E+04; -0.975679     ;-0.00130968   
   1.24114105852E+04; -0.975799     ;-0.00116377   
   1.24693559251E+04; -0.975856     ;-0.00119577   
   1.25275717953E+04; -0.975868     ;-0.00118758   
   1.25860594587E+04; -0.975783     ;-0.0012641    
   1.26448201845E+04; -0.975936     ;-0.00128724   
   1.27038552473E+04; -0.975891     ;-0.00135733   
   1.27631659280E+04; -0.976011     ;-0.00130303   
   1.28227535134E+04; -0.976015     ;-0.00131617   
   1.28826192962E+04; -0.976042     ;-0.00131534   
   1.29427645754E+04; -0.976055     ;-0.00125931   
   1.30031906557E+04; -0.976119     ;-0.00141019   
   1.30638988481E+04; -0.976218     ;-0.00128962   
   1.31248904698E+04; -0.976843     ;-0.00174625   
   1.31861668440E+04; -0.976835     ;-0.00184999   
   1.32477293002E+04; -0.976925     ;-0.00183854   
   1.33095791739E+04; -0.976807     ;-0.00165354   
   1.33717178070E+04; -0.976821     ;-0.00194551   
   1.34341465477E+04; -0.97683      ;-0.00163734   
   1.34968667505E+04; -0.97691      ;-0.00170754   
   1.35598797759E+04; -0.977018     ;-0.00184853   
   1.36231869913E+04; -0.976787     ;-0.00149502   
   1.36867897700E+04; -0.976022     ;-0.00158052   
   1.37506894919E+04; -0.975177     ;-0.00123948   
   1.38148875435E+04; -0.977024     ;-0.00137889   
   1.38793853174E+04; -0.977201     ;-0.00150859   
   1.39441842131E+04; -0.976963     ;-0.00166453   
   1.40092856364E+04; -0.977126     ;-0.0018654    
   1.40746909997E+04; -0.977214     ;-0.00176497   
   1.41404017219E+04; -0.977211     ;-0.0017135    
   1.42064192289E+04; -0.977143     ;-0.00173676   
   1.42727449527E+04; -0.977216     ;-0.00176063   
   1.43393803325E+04; -0.977184     ;-0.00173616   
   1.44063268138E+04; -0.977321     ;-0.00167591   
   1.44735858492E+04; -0.977314     ;-0.00183945   
   1.45411588979E+04; -0.977206     ;-0.00171161   
   1.46090474259E+04; -0.977356     ;-0.00166927   
   1.46772529061E+04; -0.977371     ;-0.00187481   
   1.47457768182E+04; -0.977362     ;-0.00152947   
   1.48146206490E+04; -0.977444     ;-0.00169066   
   1.48837858920E+04; -0.977673     ;-0.00169142   
   1.49532740478E+04; -0.977638     ;-0.0018296    
   1.50230866240E+04; -0.977801     ;-0.00184101   
   1.50932251352E+04; -0.977679     ;-0.00180925   
   1.51636911032E+04; -0.977795     ;-0.00171161   
   1.52344860567E+04; -0.97762      ;-0.00133198   
   1.53056115317E+04; -0.977502     ;-0.00147577   
   1.53770690712E+04; -0.977598     ;-0.0017553    
   1.54488602256E+04; -0.977581     ;-0.00162101   
   1.55209865525E+04; -0.977818     ;-0.00189798   
   1.55934496167E+04; -0.977862     ;-0.00169337   
   1.56662509902E+04; -0.978125     ;-0.00155054   
   1.57393922526E+04; -0.97796      ;-0.00139186   
   1.58128749908E+04; -0.977897     ;-0.00131793   
   1.58867007989E+04; -0.977666     ;-0.00155199   
   1.59608712786E+04; -0.977342     ;-0.00128908   
   1.60353880393E+04; -0.977412     ;-0.00128812   
   1.61102526974E+04; -0.977482     ;-0.00120583   
   1.61854668773E+04; -0.97754      ;-0.00131549   
   1.62610322108E+04; -0.977664     ;-0.00102052   
   1.63369503372E+04; -0.977785     ;-0.00099387   
   1.64132229038E+04; -0.977533     ;-0.000984758  
   1.64898515653E+04; -0.977874     ;-0.00101805   
