  freq              ;  reS11        ; imS11         
   9.00000000000E+03; -0.446297     ; 0.0121529    
   9.04201843582E+03; -0.446603     ; 0.0121004    
   9.08423304375E+03; -0.446928     ; 0.0124356    
   9.12664473965E+03; -0.447131     ; 0.0127387    
   9.16925444368E+03; -0.447397     ; 0.0118944    
   9.21206308028E+03; -0.446814     ; 0.0120456    
   9.25507157820E+03; -0.446468     ; 0.0121489    
   9.29828087055E+03; -0.446475     ; 0.0117951    
   9.34169189477E+03; -0.446481     ; 0.0117527    
   9.38530559270E+03; -0.446483     ; 0.0116898    
   9.42912291056E+03; -0.446518     ; 0.011626     
   9.47314479899E+03; -0.446546     ; 0.0114447    
   9.51737221307E+03; -0.446597     ; 0.0116842    
   9.56180611235E+03; -0.446533     ; 0.0113009    
   9.60644746085E+03; -0.446465     ; 0.0113667    
   9.65129722708E+03; -0.446767     ; 0.0111442    
   9.69635638410E+03; -0.44666      ; 0.010935     
   9.74162590948E+03; -0.446666     ; 0.0108737    
   9.78710678538E+03; -0.446776     ; 0.0108894    
   9.83279999853E+03; -0.446735     ; 0.0108971    
   9.87870654027E+03; -0.446596     ; 0.0106249    
   9.92482740658E+03; -0.446687     ; 0.0108641    
   9.97116359807E+03; -0.446795     ; 0.0104561    
   1.00177161200E+04; -0.446528     ; 0.0103719    
   1.00644859825E+04; -0.446562     ; 0.010536     
   1.01114742001E+04; -0.446624     ; 0.0103459    
   1.01586817922E+04; -0.44685      ; 0.010248     
   1.02061097832E+04; -0.446744     ; 0.0102222    
   1.02537592020E+04; -0.446731     ; 0.0101608    
   1.03016310823E+04; -0.446823     ; 0.0100742    
   1.03497264628E+04; -0.446803     ; 0.0099424    
   1.03980463870E+04; -0.446754     ; 0.0099332    
   1.04465919031E+04; -0.446756     ; 0.00987843   
   1.04953640643E+04; -0.446893     ; 0.00964475   
   1.05443639289E+04; -0.446863     ; 0.00961682   
   1.05935925599E+04; -0.44698      ; 0.00971363   
   1.06430510254E+04; -0.447163     ; 0.00969709   
   1.06927403983E+04; -0.447187     ; 0.00953309   
   1.07426617568E+04; -0.446978     ; 0.00939693   
   1.07928161838E+04; -0.446832     ; 0.00929672   
   1.08432047676E+04; -0.446844     ; 0.00918405   
   1.08938286014E+04; -0.447094     ; 0.0091415    
   1.09446887834E+04; -0.446977     ; 0.00921524   
   1.09957864171E+04; -0.447122     ; 0.00910528   
   1.10471226110E+04; -0.447041     ; 0.00884531   
   1.10986984791E+04; -0.446949     ; 0.00881065   
   1.11505151402E+04; -0.447022     ; 0.00873034   
   1.12025737185E+04; -0.447211     ; 0.00877839   
   1.12548753435E+04; -0.447138     ; 0.00873235   
   1.13074211498E+04; -0.447139     ; 0.00859125   
   1.13602122776E+04; -0.447155     ; 0.00861473   
   1.14132498721E+04; -0.447173     ; 0.00853209   
   1.14665350840E+04; -0.447235     ; 0.00850488   
   1.15200690694E+04; -0.447222     ; 0.00840347   
   1.15738529897E+04; -0.447291     ; 0.00833429   
   1.16278880118E+04; -0.447221     ; 0.00826332   
   1.16821753081E+04; -0.447328     ; 0.00816695   
   1.17367160562E+04; -0.447297     ; 0.00813098   
   1.17915114396E+04; -0.447275     ; 0.00808135   
   1.18465626470E+04; -0.447347     ; 0.00798129   
   1.19018708728E+04; -0.447382     ; 0.00790018   
   1.19574373170E+04; -0.447422     ; 0.00798924   
   1.20132631851E+04; -0.44733      ; 0.00780757   
   1.20693496882E+04; -0.447338     ; 0.00786097   
   1.21256980432E+04; -0.447422     ; 0.00781214   
   1.21823094727E+04; -0.447439     ; 0.00773661   
   1.22391852047E+04; -0.447382     ; 0.00767446   
   1.22963264734E+04; -0.447455     ; 0.00755376   
   1.23537345184E+04; -0.447519     ; 0.00762416   
   1.24114105852E+04; -0.447541     ; 0.00746664   
   1.24693559251E+04; -0.447527     ; 0.00740577   
   1.25275717953E+04; -0.447559     ; 0.00732599   
   1.25860594587E+04; -0.447591     ; 0.00728224   
   1.26448201845E+04; -0.447609     ; 0.00724144   
   1.27038552473E+04; -0.447631     ; 0.00721945   
   1.27631659280E+04; -0.447662     ; 0.00710495   
   1.28227535134E+04; -0.44769      ; 0.00707744   
   1.28826192962E+04; -0.447716     ; 0.00700557   
   1.29427645754E+04; -0.447737     ; 0.00701641   
   1.30031906557E+04; -0.447685     ; 0.0069747    
   1.30638988481E+04; -0.447776     ; 0.00687546   
   1.31248904698E+04; -0.447719     ; 0.00679244   
   1.31861668440E+04; -0.447721     ; 0.00676969   
   1.32477293002E+04; -0.447809     ; 0.00668512   
   1.33095791739E+04; -0.447863     ; 0.00667395   
   1.33717178070E+04; -0.447841     ; 0.0067004    
   1.34341465477E+04; -0.447939     ; 0.00657775   
   1.34968667505E+04; -0.448185     ; 0.00637083   
   1.35598797759E+04; -0.448213     ; 0.00634517   
   1.36231869913E+04; -0.448282     ; 0.00630914   
   1.36867897700E+04; -0.448317     ; 0.00630262   
   1.37506894919E+04; -0.448319     ; 0.00623484   
   1.38148875435E+04; -0.4484       ; 0.00618406   
   1.38793853174E+04; -0.448368     ; 0.00625138   
   1.39441842131E+04; -0.44834      ; 0.00609879   
   1.40092856364E+04; -0.448448     ; 0.00609502   
   1.40746909997E+04; -0.448436     ; 0.0060335    
   1.41404017219E+04; -0.448422     ; 0.00608625   
   1.42064192289E+04; -0.448533     ; 0.00597021   
   1.42727449527E+04; -0.448538     ; 0.00595506   
   1.43393803325E+04; -0.448481     ; 0.00591129   
   1.44063268138E+04; -0.44853      ; 0.00577086   
   1.44735858492E+04; -0.448561     ; 0.005831     
   1.45411588979E+04; -0.448564     ; 0.00571124   
   1.46090474259E+04; -0.448577     ; 0.00567952   
   1.46772529061E+04; -0.448693     ; 0.00566527   
   1.47457768182E+04; -0.448626     ; 0.00552443   
   1.48146206490E+04; -0.448696     ; 0.00561647   
   1.48837858920E+04; -0.448665     ; 0.00558063   
   1.49532740478E+04; -0.448712     ; 0.00555165   
   1.50230866240E+04; -0.448711     ; 0.00556      
   1.50932251352E+04; -0.448808     ; 0.00550865   
   1.51636911032E+04; -0.448693     ; 0.0054948    
   1.52344860567E+04; -0.44884      ; 0.00531946   
   1.53056115317E+04; -0.448834     ; 0.00526327   
   1.53770690712E+04; -0.448821     ; 0.00536373   
   1.54488602256E+04; -0.448894     ; 0.00532576   
   1.55209865525E+04; -0.448886     ; 0.00519213   
   1.55934496167E+04; -0.448837     ; 0.00518261   
   1.56662509902E+04; -0.448767     ; 0.00517321   
   1.57393922526E+04; -0.449028     ; 0.00510033   
   1.58128749908E+04; -0.449013     ; 0.00506386   
   1.58867007989E+04; -0.448904     ; 0.00521726   
   1.59608712786E+04; -0.448867     ; 0.00513989   
   1.60353880393E+04; -0.44886      ; 0.00516915   
   1.61102526974E+04; -0.448853     ; 0.00511209   
   1.61854668773E+04; -0.448831     ; 0.00515737   
   1.62610322108E+04; -0.448883     ; 0.00493243   
   1.63369503372E+04; -0.448884     ; 0.00491789   
   1.64132229038E+04; -0.449054     ; 0.0050621    
   1.64898515653E+04; -0.449014     ; 0.00486115   
   1.65668379841E+04; -0.449025     ; 0.00494235   
   1.66441838307E+04; -0.448925     ; 0.00493405   
   1.67218907829E+04; -0.448892     ; 0.00499883   
   1.67999605267E+04; -0.449074     ; 0.00490311   
   1.68783947560E+04; -0.449045     ; 0.00483517   
   1.69571951723E+04; -0.448851     ; 0.00478356   
   1.70363634853E+04; -0.448887     ; 0.0048163    
   1.71159014126E+04; -0.449022     ; 0.00464372   
   1.71958106798E+04; -0.448998     ; 0.00468377   
   1.72760930207E+04; -0.449008     ; 0.00466855   
   1.73567501769E+04; -0.449018     ; 0.00464225   
   1.74377838984E+04; -0.448972     ; 0.00460488   
   1.75191959432E+04; -0.449107     ; 0.00463092   
