  freq              ;  reS11        ; imS11         
   9.00000000000E+03;  0.930218     ; 0.243152     
   9.04201843582E+03;  0.931354     ; 0.244244     
   9.08423304375E+03;  0.934863     ; 0.243436     
   9.12664473965E+03;  0.938116     ; 0.242754     
   9.16925444368E+03;  0.934303     ; 0.244697     
   9.21206308028E+03;  0.934957     ; 0.23951      
   9.25507157820E+03;  0.936072     ; 0.235068     
   9.29828087055E+03;  0.935153     ; 0.234878     
   9.34169189477E+03;  0.935985     ; 0.233168     
   9.38530559270E+03;  0.936705     ; 0.231846     
   9.42912291056E+03;  0.936793     ; 0.230658     
   9.47314479899E+03;  0.938109     ; 0.229808     
   9.51737221307E+03;  0.93844      ; 0.22786      
   9.56180611235E+03;  0.93786      ; 0.227096     
   9.60644746085E+03;  0.939096     ; 0.225715     
   9.65129722708E+03;  0.939946     ; 0.22348      
   9.69635638410E+03;  0.939792     ; 0.222729     
   9.74162590948E+03;  0.94006      ; 0.22106      
   9.78710678538E+03;  0.940612     ; 0.220283     
   9.83279999853E+03;  0.941878     ; 0.218708     
   9.87870654027E+03;  0.942184     ; 0.218197     
   9.92482740658E+03;  0.943833     ; 0.215547     
   9.97116359807E+03;  0.942621     ; 0.214488     
   1.00177161200E+04;  0.943221     ; 0.213696     
   1.00644859825E+04;  0.943927     ; 0.212023     
   1.01114742001E+04;  0.9451       ; 0.211033     
   1.01586817922E+04;  0.945401     ; 0.209407     
   1.02061097832E+04;  0.945988     ; 0.208317     
   1.02537592020E+04;  0.94612      ; 0.206921     
   1.03016310823E+04;  0.946437     ; 0.205344     
   1.03497264628E+04;  0.946891     ; 0.203989     
   1.03980463870E+04;  0.947191     ; 0.202918     
   1.04465919031E+04;  0.947745     ; 0.201882     
   1.04953640643E+04;  0.947994     ; 0.200428     
   1.05443639289E+04;  0.947675     ; 0.199902     
   1.05935925599E+04;  0.948515     ; 0.198382     
   1.06430510254E+04;  0.951653     ; 0.199012     
   1.06927403983E+04;  0.951745     ; 0.19687      
   1.07426617568E+04;  0.950764     ; 0.194881     
   1.07928161838E+04;  0.950286     ; 0.192239     
   1.08432047676E+04;  0.950582     ; 0.190852     
   1.08938286014E+04;  0.95132      ; 0.189475     
   1.09446887834E+04;  0.951877     ; 0.187918     
   1.09957864171E+04;  0.952092     ; 0.186791     
   1.10471226110E+04;  0.952638     ; 0.185879     
   1.10986984791E+04;  0.952838     ; 0.184619     
   1.11505151402E+04;  0.953277     ; 0.183323     
   1.12025737185E+04;  0.953841     ; 0.181564     
   1.12548753435E+04;  0.954427     ; 0.180419     
   1.13074211498E+04;  0.954584     ; 0.179388     
   1.13602122776E+04;  0.955223     ; 0.177718     
   1.14132498721E+04;  0.95544      ; 0.176551     
   1.14665350840E+04;  0.955938     ; 0.175123     
   1.15200690694E+04;  0.956017     ; 0.173893     
   1.15738529897E+04;  0.95668      ; 0.172655     
   1.16278880118E+04;  0.956876     ; 0.171447     
   1.16821753081E+04;  0.957303     ; 0.170285     
   1.17367160562E+04;  0.957669     ; 0.16878      
   1.17915114396E+04;  0.958042     ; 0.167549     
   1.18465626470E+04;  0.958615     ; 0.166395     
   1.19018708728E+04;  0.958541     ; 0.165194     
   1.19574373170E+04;  0.95915      ; 0.163589     
   1.20132631851E+04;  0.959393     ; 0.16235      
   1.20693496882E+04;  0.959894     ; 0.160827     
   1.21256980432E+04;  0.960367     ; 0.159784     
   1.21823094727E+04;  0.960527     ; 0.158462     
   1.22391852047E+04;  0.96073      ; 0.156953     
   1.22963264734E+04;  0.961155     ; 0.155936     
   1.23537345184E+04;  0.961598     ; 0.154568     
   1.24114105852E+04;  0.961924     ; 0.153435     
   1.24693559251E+04;  0.962099     ; 0.152131     
   1.25275717953E+04;  0.962454     ; 0.150956     
   1.25860594587E+04;  0.962838     ; 0.149668     
   1.26448201845E+04;  0.963229     ; 0.148284     
   1.27038552473E+04;  0.963623     ; 0.146933     
   1.27631659280E+04;  0.963756     ; 0.145891     
   1.28227535134E+04;  0.963967     ; 0.144805     
   1.28826192962E+04;  0.964363     ; 0.143391     
   1.29427645754E+04;  0.964815     ; 0.142244     
   1.30031906557E+04;  0.965035     ; 0.140662     
   1.30638988481E+04;  0.96525      ; 0.139529     
   1.31248904698E+04;  0.965662     ; 0.138264     
   1.31861668440E+04;  0.966011     ; 0.136722     
   1.32477293002E+04;  0.966392     ; 0.135727     
   1.33095791739E+04;  0.966537     ; 0.134425     
   1.33717178070E+04;  0.968064     ; 0.133029     
   1.34341465477E+04;  0.968278     ; 0.132085     
   1.34968667505E+04;  0.968483     ; 0.130488     
   1.35598797759E+04;  0.968823     ; 0.12895      
   1.36231869913E+04;  0.969459     ; 0.128705     
   1.36867897700E+04;  0.971771     ; 0.127694     
   1.37506894919E+04;  0.973359     ; 0.126587     
   1.38148875435E+04;  0.969281     ; 0.125406     
   1.38793853174E+04;  0.970778     ; 0.123684     
   1.39441842131E+04;  0.970592     ; 0.121626     
   1.40092856364E+04;  0.970549     ; 0.120607     
   1.40746909997E+04;  0.971052     ; 0.119594     
   1.41404017219E+04;  0.9716       ; 0.118323     
   1.42064192289E+04;  0.971523     ; 0.117132     
   1.42727449527E+04;  0.971689     ; 0.115905     
   1.43393803325E+04;  0.972323     ; 0.11448      
   1.44063268138E+04;  0.972423     ; 0.113121     
