  freq              ;  reS11        ; imS11         
   9.00000000000E+03; -0.672176     ; 0.0460847    
   9.04201843582E+03; -0.672491     ; 0.0465764    
   9.08423304375E+03; -0.672559     ; 0.0474712    
   9.12664473965E+03; -0.67251      ; 0.0481115    
   9.16925444368E+03; -0.673207     ; 0.0475858    
   9.21206308028E+03; -0.672382     ; 0.0477305    
   9.25507157820E+03; -0.671872     ; 0.0480055    
   9.29828087055E+03; -0.671931     ; 0.0478869    
   9.34169189477E+03; -0.671922     ; 0.0481633    
   9.38530559270E+03; -0.671898     ; 0.0483119    
   9.42912291056E+03; -0.671899     ; 0.0485696    
   9.47314479899E+03; -0.671908     ; 0.0486659    
   9.51737221307E+03; -0.671962     ; 0.0491883    
   9.56180611235E+03; -0.671843     ; 0.0491205    
   9.60644746085E+03; -0.671855     ; 0.0494652    
   9.65129722708E+03; -0.672172     ; 0.0494466    
   9.69635638410E+03; -0.671955     ; 0.0494726    
   9.74162590948E+03; -0.671955     ; 0.0496819    
   9.78710678538E+03; -0.672141     ; 0.0500315    
   9.83279999853E+03; -0.672004     ; 0.050425     
   9.87870654027E+03; -0.671815     ; 0.0504567    
   9.92482740658E+03; -0.671829     ; 0.050864     
   9.97116359807E+03; -0.67202      ; 0.0508108    
   1.00177161200E+04; -0.671602     ; 0.050973     
   1.00644859825E+04; -0.671544     ; 0.0513976    
   1.01114742001E+04; -0.671647     ; 0.0514839    
   1.01586817922E+04; -0.671899     ; 0.0517843    
   1.02061097832E+04; -0.67179      ; 0.0520275    
   1.02537592020E+04; -0.671704     ; 0.0522722    
   1.03016310823E+04; -0.671759     ; 0.0524675    
   1.03497264628E+04; -0.671758     ; 0.0526053    
   1.03980463870E+04; -0.671736     ; 0.0528747    
   1.04465919031E+04; -0.671709     ; 0.0531565    
   1.04953640643E+04; -0.67185      ; 0.053298     
   1.05443639289E+04; -0.671798     ; 0.0536025    
   1.05935925599E+04; -0.671876     ; 0.0540704    
   1.06430510254E+04; -0.671787     ; 0.0544459    
   1.06927403983E+04; -0.67185      ; 0.0545962    
   1.07426617568E+04; -0.67172      ; 0.0545939    
   1.07928161838E+04; -0.671659     ; 0.0547195    
   1.08432047676E+04; -0.671622     ; 0.0549419    
   1.08938286014E+04; -0.671799     ; 0.0551385    
   1.09446887834E+04; -0.671713     ; 0.0555188    
   1.09957864171E+04; -0.671822     ; 0.0557102    
   1.10471226110E+04; -0.671629     ; 0.0557624    
   1.10986984791E+04; -0.67155      ; 0.0561356    
   1.11505151402E+04; -0.67152      ; 0.0563545    
   1.12025737185E+04; -0.671768     ; 0.0566207    
   1.12548753435E+04; -0.671661     ; 0.0569132    
   1.13074211498E+04; -0.671552     ; 0.0570936    
   1.13602122776E+04; -0.671647     ; 0.0574407    
   1.14132498721E+04; -0.671626     ; 0.0577156    
   1.14665350840E+04; -0.671705     ; 0.0579145    
   1.15200690694E+04; -0.67162      ; 0.0581859    
   1.15738529897E+04; -0.671611     ; 0.0584092    
   1.16278880118E+04; -0.671514     ; 0.0586959    
   1.16821753081E+04; -0.671591     ; 0.0588644    
   1.17367160562E+04; -0.67154      ; 0.0591937    
   1.17915114396E+04; -0.671492     ; 0.0594133    
   1.18465626470E+04; -0.671518     ; 0.0596175    
   1.19018708728E+04; -0.671522     ; 0.0599905    
   1.19574373170E+04; -0.67162      ; 0.0603242    
   1.20132631851E+04; -0.671453     ; 0.0605219    
   1.20693496882E+04; -0.671458     ; 0.0608975    
   1.21256980432E+04; -0.671514     ; 0.0609888    
   1.21823094727E+04; -0.671435     ; 0.061301     
   1.22391852047E+04; -0.671493     ; 0.0616889    
   1.22963264734E+04; -0.671413     ; 0.0620024    
   1.23537345184E+04; -0.671433     ; 0.062173     
   1.24114105852E+04; -0.671333     ; 0.0624751    
   1.24693559251E+04; -0.671375     ; 0.0628308    
   1.25275717953E+04; -0.671339     ; 0.0630442    
   1.25860594587E+04; -0.671349     ; 0.063321     
   1.26448201845E+04; -0.671371     ; 0.0636463    
   1.27038552473E+04; -0.671351     ; 0.0638836    
   1.27631659280E+04; -0.671354     ; 0.0642296    
   1.28227535134E+04; -0.671287     ; 0.0644985    
   1.28826192962E+04; -0.671265     ; 0.0647814    
   1.29427645754E+04; -0.671325     ; 0.0651043    
